# Tag name ;  color 

SCAN ; #c0c0c0


# Frequency ; Name ; Modulation ;  Bandwidth ; Tags 

# Tag name ;  color 

SCAN ; #c0c0c0


# Frequency ; Name ; Modulation ;  Bandwidth ; Tags 

# Tag name ;  color 

SCAN ; #c0c0c0


# Frequency ; Name ; Modulation ;  Bandwidth ; Tags 

136305000 ;  c-38 ; Narrow FM ; 12500 ; SCAN 
136590000 ;  c-38 ; Narrow FM ; 12500 ; SCAN 
141495000 ;  c-38 ; Narrow FM ; 12500 ; SCAN 
141705000 ;  c-38 ; Narrow FM ; 12500 ; SCAN 
142590000 ;  c-38 ; Narrow FM ; 12500 ; SCAN 
143055000 ;  c-38 ; Narrow FM ; 12500 ; SCAN 
143265000 ;  c-38 ; Narrow FM ; 12500 ; SCAN 
# Tag name ;  color 

SCAN ; #c0c0c0


# Frequency ; Name ; Modulation ;  Bandwidth ; Tags 

136305000 ;  c-38 ; Narrow FM ; 12500 ; SCAN 
136590000 ;  c-38 ; Narrow FM ; 12500 ; SCAN 
141495000 ;  c-38 ; Narrow FM ; 12500 ; SCAN 
141705000 ;  c-38 ; Narrow FM ; 12500 ; SCAN 
142590000 ;  c-38 ; Narrow FM ; 12500 ; SCAN 
143055000 ;  c-38 ; Narrow FM ; 12500 ; SCAN 
143265000 ;  c-38 ; Narrow FM ; 12500 ; SCAN 
# Tag name ;  color 

SCAN ; #c0c0c0


# Frequency ; Name ; Modulation ;  Bandwidth ; Tags 

136305000 ;  c-38 ; Narrow FM ; 12500 ; SCAN 
136590000 ;  c-38 ; Narrow FM ; 12500 ; SCAN 
136815000 ;  c-38 ; Narrow FM ; 12500 ; SCAN 
141495000 ;  c-38 ; Narrow FM ; 12500 ; SCAN 
141705000 ;  c-38 ; Narrow FM ; 12500 ; SCAN 
142590000 ;  c-38 ; Narrow FM ; 12500 ; SCAN 
143055000 ;  c-38 ; Narrow FM ; 12500 ; SCAN 
143265000 ;  c-38 ; Narrow FM ; 12500 ; SCAN 
# Tag name ;  color 

SCAN ; #c0c0c0


# Frequency ; Name ; Modulation ;  Bandwidth ; Tags 

136305000 ;  c-38 ; Narrow FM ; 12500 ; SCAN 
136590000 ;  c-38 ; Narrow FM ; 12500 ; SCAN 
136815000 ;  c-38 ; Narrow FM ; 12500 ; SCAN 
141495000 ;  c-38 ; Narrow FM ; 12500 ; SCAN 
141705000 ;  c-38 ; Narrow FM ; 12500 ; SCAN 
142590000 ;  c-38 ; Narrow FM ; 12500 ; SCAN 
143055000 ;  c-38 ; Narrow FM ; 12500 ; SCAN 
143265000 ;  c-38 ; Narrow FM ; 12500 ; SCAN 
# Tag name ;  color 

SCAN ; #c0c0c0


# Frequency ; Name ; Modulation ;  Bandwidth ; Tags 

136305000 ;  c-38 ; Narrow FM ; 12500 ; SCAN 
136590000 ;  c-38 ; Narrow FM ; 12500 ; SCAN 
136815000 ;  c-38 ; Narrow FM ; 12500 ; SCAN 
141495000 ;  c-38 ; Narrow FM ; 12500 ; SCAN 
141705000 ;  c-38 ; Narrow FM ; 12500 ; SCAN 
142590000 ;  c-38 ; Narrow FM ; 12500 ; SCAN 
143055000 ;  c-38 ; Narrow FM ; 12500 ; SCAN 
143265000 ;  c-38 ; Narrow FM ; 12500 ; SCAN 
# Tag name ;  color 

SCAN ; #c0c0c0


# Frequency ; Name ; Modulation ;  Bandwidth ; Tags 

136305000 ;  c-38 ; Narrow FM ; 12500 ; SCAN 
136590000 ;  c-38 ; Narrow FM ; 12500 ; SCAN 
136815000 ;  c-38 ; Narrow FM ; 12500 ; SCAN 
141495000 ;  c-38 ; Narrow FM ; 12500 ; SCAN 
141705000 ;  c-38 ; Narrow FM ; 12500 ; SCAN 
142590000 ;  c-38 ; Narrow FM ; 12500 ; SCAN 
143055000 ;  c-38 ; Narrow FM ; 12500 ; SCAN 
143265000 ;  c-38 ; Narrow FM ; 12500 ; SCAN 
# Tag name ;  color 

SCAN ; #c0c0c0


# Frequency ; Name ; Modulation ;  Bandwidth ; Tags 

# Tag name ;  color 

SCAN ; #c0c0c0


# Frequency ; Name ; Modulation ;  Bandwidth ; Tags 

136305000 ;  c-38 ; Narrow FM ; 12500 ; SCAN 
136590000 ;  c-38 ; Narrow FM ; 12500 ; SCAN 
136815000 ;  c-38 ; Narrow FM ; 12500 ; SCAN 
141495000 ;  c-38 ; Narrow FM ; 12500 ; SCAN 
141705000 ;  c-38 ; Narrow FM ; 12500 ; SCAN 
142590000 ;  c-38 ; Narrow FM ; 12500 ; SCAN 
143055000 ;  c-38 ; Narrow FM ; 12500 ; SCAN 
143265000 ;  c-38 ; Narrow FM ; 12500 ; SCAN 
# Tag name ;  color 

SCAN ; #c0c0c0


# Frequency ; Name ; Modulation ;  Bandwidth ; Tags 

# Tag name ;  color 

SCAN ; #c0c0c0


# Frequency ; Name ; Modulation ;  Bandwidth ; Tags 

136170000 ;  c-38 ; Narrow FM ; 12500 ; SCAN 
136305000 ;  c-38 ; Narrow FM ; 12500 ; SCAN 
136590000 ;  c-38 ; Narrow FM ; 12500 ; SCAN 
136815000 ;  c-38 ; Narrow FM ; 12500 ; SCAN 
141495000 ;  c-38 ; Narrow FM ; 12500 ; SCAN 
141705000 ;  c-38 ; Narrow FM ; 12500 ; SCAN 
142590000 ;  c-38 ; Narrow FM ; 12500 ; SCAN 
142890000 ;  c-38 ; Narrow FM ; 12500 ; SCAN 
143055000 ;  c-38 ; Narrow FM ; 12500 ; SCAN 
143265000 ;  c-38 ; Narrow FM ; 12500 ; SCAN 
# Tag name ;  color 

SCAN ; #c0c0c0


# Frequency ; Name ; Modulation ;  Bandwidth ; Tags 

136170000 ;  c-38 ; Narrow FM ; 12500 ; SCAN 
136305000 ;  c-38 ; Narrow FM ; 12500 ; SCAN 
136590000 ;  c-38 ; Narrow FM ; 12500 ; SCAN 
136815000 ;  c-38 ; Narrow FM ; 12500 ; SCAN 
141495000 ;  c-38 ; Narrow FM ; 12500 ; SCAN 
141705000 ;  c-38 ; Narrow FM ; 12500 ; SCAN 
142590000 ;  c-38 ; Narrow FM ; 12500 ; SCAN 
142890000 ;  c-38 ; Narrow FM ; 12500 ; SCAN 
143055000 ;  c-38 ; Narrow FM ; 12500 ; SCAN 
143265000 ;  c-38 ; Narrow FM ; 12500 ; SCAN 
# Tag name ;  color 

SCAN ; #c0c0c0


# Frequency ; Name ; Modulation ;  Bandwidth ; Tags 

136170000 ;  c-38 ; Narrow FM ; 12500 ; SCAN 
136305000 ;  c-38 ; Narrow FM ; 12500 ; SCAN 
136590000 ;  c-38 ; Narrow FM ; 12500 ; SCAN 
136815000 ;  c-38 ; Narrow FM ; 12500 ; SCAN 
141495000 ;  c-38 ; Narrow FM ; 12500 ; SCAN 
141705000 ;  c-38 ; Narrow FM ; 12500 ; SCAN 
142590000 ;  c-38 ; Narrow FM ; 12500 ; SCAN 
142890000 ;  c-38 ; Narrow FM ; 12500 ; SCAN 
143055000 ;  c-38 ; Narrow FM ; 12500 ; SCAN 
143265000 ;  c-38 ; Narrow FM ; 12500 ; SCAN 
# Tag name ;  color 

SCAN ; #c0c0c0


# Frequency ; Name ; Modulation ;  Bandwidth ; Tags 

# Tag name ;  color 

SCAN ; #c0c0c0


# Frequency ; Name ; Modulation ;  Bandwidth ; Tags 

136305000 ;  c-0 ; Narrow FM ; 12500 ; SCAN 
142590000 ;  c-0 ; Narrow FM ; 12500 ; SCAN 
143055000 ;  c-0 ; Narrow FM ; 12500 ; SCAN 
# Tag name ;  color 

SCAN ; #c0c0c0


# Frequency ; Name ; Modulation ;  Bandwidth ; Tags 

136305000 ;  c-0 ; Narrow FM ; 12500 ; SCAN 
136815000 ;  c-0 ; Narrow FM ; 12500 ; SCAN 
142590000 ;  c-0 ; Narrow FM ; 12500 ; SCAN 
143055000 ;  c-0 ; Narrow FM ; 12500 ; SCAN 
143265000 ;  c-0 ; Narrow FM ; 12500 ; SCAN 
# Tag name ;  color 

SCAN ; #c0c0c0


# Frequency ; Name ; Modulation ;  Bandwidth ; Tags 

136170000 ;  c-0 ; Narrow FM ; 12500 ; SCAN 
142590000 ;  c-0 ; Narrow FM ; 12500 ; SCAN 
142890000 ;  c-0 ; Narrow FM ; 12500 ; SCAN 
# Tag name ;  color 

SCAN ; #c0c0c0


# Frequency ; Name ; Modulation ;  Bandwidth ; Tags 

136170000 ;  c-0 ; Narrow FM ; 12500 ; SCAN 
142590000 ;  c-0 ; Narrow FM ; 12500 ; SCAN 
142890000 ;  c-0 ; Narrow FM ; 12500 ; SCAN 
# Tag name ;  color 

SCAN ; #c0c0c0


# Frequency ; Name ; Modulation ;  Bandwidth ; Tags 

142890000 ;  c-0 ; Narrow FM ; 12500 ; SCAN 
# Tag name ;  color 

SCAN ; #c0c0c0


# Frequency ; Name ; Modulation ;  Bandwidth ; Tags 

136170000 ;  c-38 ; Narrow FM ; 12500 ; SCAN 
136305000 ;  c-38 ; Narrow FM ; 12500 ; SCAN 
136590000 ;  c-38 ; Narrow FM ; 12500 ; SCAN 
136815000 ;  c-38 ; Narrow FM ; 12500 ; SCAN 
141495000 ;  c-38 ; Narrow FM ; 12500 ; SCAN 
141705000 ;  c-38 ; Narrow FM ; 12500 ; SCAN 
142590000 ;  c-38 ; Narrow FM ; 12500 ; SCAN 
142890000 ;  c-38 ; Narrow FM ; 12500 ; SCAN 
143055000 ;  c-38 ; Narrow FM ; 12500 ; SCAN 
143265000 ;  c-38 ; Narrow FM ; 12500 ; SCAN 
# Tag name ;  color 

SCAN ; #c0c0c0


